,code,year,type,subtype,value
206,JAL,2017,direct,losses_from_crime,17713084510
207,MEX,2017,direct,losses_from_crime,46075530758
208,MIC,2017,direct,losses_from_crime,11807475760
209,MOR,2017,direct,losses_from_crime,3008929947
210,NAY,2017,direct,losses_from_crime,901609051.7
211,NLE,2017,direct,losses_from_crime,6439537183
212,OAX,2017,direct,losses_from_crime,4056212921
213,PUE,2017,direct,losses_from_crime,12159990427
214,QUE,2017,direct,losses_from_crime,3253268399
215,ROO,2017,direct,losses_from_crime,2626086977
216,SLP,2017,direct,losses_from_crime,3549995674
217,SIN,2017,direct,losses_from_crime,7684341253
218,SON,2017,direct,losses_from_crime,6325950388
219,TAB,2017,direct,losses_from_crime,4979565401
220,TAM,2017,direct,losses_from_crime,9239517496
221,TLA,2017,direct,losses_from_crime,2262377918
222,VER,2017,direct,losses_from_crime,7368588562
223,YUC,2017,direct,losses_from_crime,2125766425
224,ZAC,2017,direct,losses_from_crime,3533134062
97,AGU,2018,direct,protect_cost,2173989555
98,BCN,2018,direct,protect_cost,5171621290
99,BCS,2018,direct,protect_cost,1314739963
100,CAM,2018,direct,protect_cost,1543377852
101,COA,2018,direct,protect_cost,3298840884
102,COL,2018,direct,protect_cost,1190465026
103,CHP,2018,direct,protect_cost,3573425285
104,CHH,2018,direct,protect_cost,4395350108
105,DIF,2018,direct,protect_cost,21023911602
106,DUR,2018,direct,protect_cost,1284262663
107,GUA,2018,direct,protect_cost,7905941404
108,GRO,2018,direct,protect_cost,2715357367
109,HID,2018,direct,protect_cost,3402963507
110,JAL,2018,direct,protect_cost,9984502721
111,MEX,2018,direct,protect_cost,18962314973
112,MIC,2018,direct,protect_cost,5546295469
113,MOR,2018,direct,protect_cost,2851107405
114,NAY,2018,direct,protect_cost,892844755.8
115,NLE,2018,direct,protect_cost,9539375552
116,OAX,2018,direct,protect_cost,4136648524
117,PUE,2018,direct,protect_cost,9645928772
118,QUE,2018,direct,protect_cost,3126459316
119,ROO,2018,direct,protect_cost,2788042343
120,SLP,2018,direct,protect_cost,2786480754
121,SIN,2018,direct,protect_cost,2538572419
122,SON,2018,direct,protect_cost,5554327663
123,TAB,2018,direct,protect_cost,3549083551
124,TAM,2018,direct,protect_cost,4672700853
125,TLA,2018,direct,protect_cost,1608016198
126,VER,2018,direct,protect_cost,6895124788
127,YUC,2018,direct,protect_cost,2078987806
128,ZAC,2018,direct,protect_cost,1688030926
225,AGU,2018,direct,losses_from_crime,2186086092
226,BCN,2018,direct,losses_from_crime,5843438416
227,BCS,2018,direct,losses_from_crime,1008861805
228,CAM,2018,direct,losses_from_crime,1370005267
229,COA,2018,direct,losses_from_crime,7888747854
230,COL,2018,direct,losses_from_crime,859400314.6
231,CHP,2018,direct,losses_from_crime,4316715898
232,CHH,2018,direct,losses_from_crime,10108914966
233,DIF,2018,direct,losses_from_crime,42595171516
234,DUR,2018,direct,losses_from_crime,2704620951
235,GUA,2018,direct,losses_from_crime,9800215030
236,GRO,2018,direct,losses_from_crime,5120628024
237,HID,2018,direct,losses_from_crime,4298685937
238,JAL,2018,direct,losses_from_crime,18437942881
239,MEX,2018,direct,losses_from_crime,64379129194
240,MIC,2018,direct,losses_from_crime,14379276627
241,MOR,2018,direct,losses_from_crime,6297223941
242,NAY,2018,direct,losses_from_crime,1220114349
243,NLE,2018,direct,losses_from_crime,14549571982
244,OAX,2018,direct,losses_from_crime,6099569758
245,PUE,2018,direct,losses_from_crime,16068088915
246,QUE,2018,direct,losses_from_crime,5184285818
247,ROO,2018,direct,losses_from_crime,3212672975
248,SLP,2018,direct,losses_from_crime,9416622674
249,SIN,2018,direct,losses_from_crime,3819728868
250,SON,2018,direct,losses_from_crime,5272818488
251,TAB,2018,direct,losses_from_crime,4774040395
252,TAM,2018,direct,losses_from_crime,3947189749
253,TLA,2018,direct,losses_from_crime,1808547838
254,VER,2018,direct,losses_from_crime,12460661670
255,YUC,2018,direct,losses_from_crime,5623960977
256,ZAC,2018,direct,losses_from_crime,2189237589
97,AGU,2019,direct,protect_cost,2173989555
98,BCN,2019,direct,protect_cost,5171621290
99,BCS,2019,direct,protect_cost,1314739963
100,CAM,2019,direct,protect_cost,1543377852
101,COA,2019,direct,protect_cost,3298840884
102,COL,2019,direct,protect_cost,1190465026
103,CHP,2019,direct,protect_cost,3573425285
104,CHH,2019,direct,protect_cost,4395350108
105,DIF,2019,direct,protect_cost,21023911602
106,DUR,2019,direct,protect_cost,1284262663
107,GUA,2019,direct,protect_cost,7905941404
108,GRO,2019,direct,protect_cost,2715357367
109,HID,2019,direct,protect_cost,3402963507
110,JAL,2019,direct,protect_cost,9984502721
111,MEX,2019,direct,protect_cost,18962314973
112,MIC,2019,direct,protect_cost,5546295469
113,MOR,2019,direct,protect_cost,2851107405
114,NAY,2019,direct,protect_cost,892844755.8
115,NLE,2019,direct,protect_cost,9539375552
116,OAX,2019,direct,protect_cost,4136648524
117,PUE,2019,direct,protect_cost,9645928772
118,QUE,2019,direct,protect_cost,3126459316
119,ROO,2019,direct,protect_cost,2788042343
120,SLP,2019,direct,protect_cost,2786480754
121,SIN,2019,direct,protect_cost,2538572419
122,SON,2019,direct,protect_cost,5554327663
123,TAB,2019,direct,protect_cost,3549083551
124,TAM,2019,direct,protect_cost,4672700853
125,TLA,2019,direct,protect_cost,1608016198
126,VER,2019,direct,protect_cost,6895124788
127,YUC,2019,direct,protect_cost,2078987806
128,ZAC,2019,direct,protect_cost,1688030926
225,AGU,2019,direct,losses_from_crime,2186086092
226,BCN,2019,direct,losses_from_crime,5843438416
227,BCS,2019,direct,losses_from_crime,1008861805
228,CAM,2019,direct,losses_from_crime,1370005267
229,COA,2019,direct,losses_from_crime,7888747854
230,COL,2019,direct,losses_from_crime,859400314.6
231,CHP,2019,direct,losses_from_crime,4316715898
232,CHH,2019,direct,losses_from_crime,10108914966
233,DIF,2019,direct,losses_from_crime,42595171516
234,DUR,2019,direct,losses_from_crime,2704620951
235,GUA,2019,direct,losses_from_crime,9800215030
236,GRO,2019,direct,losses_from_crime,5120628024
237,HID,2019,direct,losses_from_crime,4298685937
238,JAL,2019,direct,losses_from_crime,18437942881
239,MEX,2019,direct,losses_from_crime,64379129194
240,MIC,2019,direct,losses_from_crime,14379276627
241,MOR,2019,direct,losses_from_crime,6297223941
242,NAY,2019,direct,losses_from_crime,1220114349
243,NLE,2019,direct,losses_from_crime,14549571982
244,OAX,2019,direct,losses_from_crime,6099569758
245,PUE,2019,direct,losses_from_crime,16068088915
246,QUE,2019,direct,losses_from_crime,5184285818
247,ROO,2019,direct,losses_from_crime,3212672975
248,SLP,2019,direct,losses_from_crime,9416622674
249,SIN,2019,direct,losses_from_crime,3819728868
250,SON,2019,direct,losses_from_crime,5272818488
251,TAB,2019,direct,losses_from_crime,4774040395
252,TAM,2019,direct,losses_from_crime,3947189749
253,TLA,2019,direct,losses_from_crime,1808547838
254,VER,2019,direct,losses_from_crime,12460661670
255,YUC,2019,direct,losses_from_crime,5623960977
256,ZAC,2019,direct,losses_from_crime,2189237589
