"","state","iso3c","year","GDP"
"71","Coahuila de Zaragoza","COA","2016",698588.431131228
"72","Colima","COL","2016",116085.753388395
"73","Distrito Federal","DIF","2016",3453121.84311749
"74","Durango","DUR","2016",237374.510257547
"75","Guanajuato","GUA","2016",804951.864068048
"76","Guerrero","GRO","2016",282459.67846272
"77","Hidalgo","HID","2016",308702.887190971
"78","Jalisco","JAL","2016",1348459.92819618
"79","México","MEX","2016",1751214.81836011
"80","Michoacán de Ocampo","MIC","2016",476804.572143901
"81","Morelos","MOR","2016",227005.948410622
"82","Nayarit","NAY","2016",139856.028753634
"83","Nuevo León","NLE","2016",1484324.44700187
"84","Oaxaca","OAX","2016",317134.325694711
"85","Puebla","PUE","2016",656707.434527637
"86","Querétaro","QUE","2016",450227.310726395
"87","Quintana Roo","ROO","2016",298879.523729025
"88","San Luis Potosí","SLP","2016",401930.93451526
"89","Sinaloa","SIN","2016",440571.965157756
"90","Sonora","SON","2016",654334.072373457
"91","Tabasco","TAB","2016",680593.134924241
"92","Tamaulipas","TAM","2016",597257.570952536
"93","Tlaxcala","TLA","2016",117609.086241825
"94","Veracruz de Ignacio de la Llave","VER","2016",978745.9539043
"95","Yucatán","YUC","2016",282699.302118247
"96","Zacatecas","ZAC","2016",193838.582995426
"97","Aguascalientes","AGU","2017",263352.726536002
"98","Baja California","BCN","2017",642796.107596045
"99","Baja California Sur","BCS","2017",163407.019080643
"100","Campeche","CAM","2017",731900.461611838
"101","Chiapas","CHP","2017",353914.372245846
"102","Chihuahua","CHH","2017",658012.657105852
"103","Coahuila de Zaragoza","COA","2017",710137.75398007
"104","Colima","COL","2017",123182.123029113
"105","Distrito Federal","DIF","2017",3604743.04190249
"106","Durango","DUR","2017",246316.012601835
"107","Guanajuato","GUA","2017",839328.249318184
"108","Guerrero","GRO","2017",288528.513937178
"109","Hidalgo","HID","2017",321570.471878809
"110","Jalisco","JAL","2017",1414554.41694657
"111","México","MEX","2017",1804185.39887176
"112","Michoacán de Ocampo","MIC","2017",497013.709861341
"113","Morelos","MOR","2017",234139.596386102
"114","Nayarit","NAY","2017",145736.325111838
"115","Nuevo León","NLE","2017",1508234.29395226
"116","Oaxaca","OAX","2017",312256.619570977
"117","Puebla","PUE","2017",673458.394966974
"118","Querétaro","QUE","2017",469922.815271515
"119","Quintana Roo","ROO","2017",320647.446578157
"120","San Luis Potosí","SLP","2017",417126.771674873
"121","Sinaloa","SIN","2017",464733.361129988
"122","Sonora","SON","2017",691135.687086599
"123","Tabasco","TAB","2017",645163.104117266
"124","Tamaulipas","TAM","2017",597308.519146257
"125","Tlaxcala","TLA","2017",118422.179289064
"126","Veracruz de Ignacio de la Llave","VER","2017",978076.141771648
"127","Yucatán","YUC","2017",295140.130097809
"128","Zacatecas","ZAC","2017",190634.025487237
"129","Aguascalientes","AGU","2018",273148.564022267
"130","Baja California","BCN","2018",663034.684996378
"131","Baja California Sur","BCS","2018",182085.389459956
"132","Campeche","CAM","2018",655407.82159499
"133","Chiapas","CHP","2018",343094.884006811
"134","Chihuahua","CHH","2018",677543.632742951
"135","Coahuila de Zaragoza","COA","2018",745854.362442042
"136","Colima","COL","2018",128762.545606258
"137","Distrito Federal","DIF","2018",3706662.17957374
"138","Durango","DUR","2018",243850.723111332
"139","Guanajuato","GUA","2018",880223.087761063
"140","Guerrero","GRO","2018",288535.50408146
"141","Hidalgo","HID","2018",322881.514707775
"142","Jalisco","JAL","2018",1451709.7497601
"143","México","MEX","2018",1886675.25155765
"144","Michoacán de Ocampo","MIC","2018",512496.326759537
"145","Morelos","MOR","2018",245952.850137228
"146","Nayarit","NAY","2018",148268.729482942
"147","Nuevo León","NLE","2018",1553515.39071565
"148","Oaxaca","OAX","2018",301289.153800037
"149","Puebla","PUE","2018",714892.662673663
"150","Querétaro","QUE","2018",488351.777984574
"151","Quintana Roo","ROO","2018",334878.788694003
"152","San Luis Potosí","SLP","2018",435428.71146305
"153","Sinaloa","SIN","2018",468134.465620869
"154","Sonora","SON","2018",696801.156419175
"155","Tabasco","TAB","2018",613180.126252196
"156","Tamaulipas","TAM","2018",597221.098517376
"157","Tlaxcala","TLA","2018",116721.766432603
"158","Veracruz de Ignacio de la Llave","VER","2018",967762.081624393
"159","Yucatán","YUC","2018",303872.324976583
"160","Zacatecas","ZAC","2018",189778.609319812
